experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,MultinomialNB,Linear / probabilistic,1,1,4459,1115,0.9636849876235832,0.9366197183098592,0.9746496849404956,0.9903636388900467,0.9288779375088632,0.945273528144844,0.9838565022421524,0.8859060402684564,964,2,16,133,2.127359532,19.123940807178712,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,1,4459,1115,0.9684747727497632,0.9452054794520548,0.9792062852288396,0.9946225353286924,0.9372155276723,0.9604992566037212,0.9856502242152466,0.8791946308724832,961,5,11,138,2.3257458390000068,15.933027802693095,8
E1,word,full,LinearSVM,Kernel (linear),1,1,4459,1115,0.9662090493075128,0.9411764705882352,0.9800030271607306,0.9945739019272722,0.9330250629254968,0.9543054455514332,0.9847533632286996,0.8859060402684564,962,4,13,136,2.456174746000002,16.994276233180297,8
E1,word,full,kNN,Instance-based,1,1,4459,1115,0.9591575091575092,0.9285714285714286,0.9145412559970264,0.9546771436908584,0.9208523277239944,0.9357240123945696,0.9820627802690582,0.8859060402684564,965,1,19,130,3.4103750599999927,63.17170852017245,8
E1,word,full,RandomForest,Ensemble,1,1,4459,1115,0.953174271320816,0.9181494661921707,0.9771405478387408,0.9954840412967054,0.9085749656026572,0.9313331110092126,0.979372197309417,0.8187919463087249,963,3,20,129,29.312556494999995,53.446265470859146,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,2,4459,1115,0.980064223595377,0.9652777777777778,0.9821248168828256,0.9902594244584324,0.9608993957778564,0.9664429530201342,0.9910313901345292,0.9395973154362416,966,0,10,139,2.0973396269999967,17.837833183850282,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,2,4459,1115,0.9822152985649952,0.9690721649484536,0.9866618966739948,0.9943237872913976,0.9648029017335386,0.972636764072422,0.9919282511210762,0.959731543624161,965,1,8,141,2.226687050999999,14.93338385650038,8
E1,word,full,LinearSVM,Kernel (linear),1,2,4459,1115,0.986247689594232,0.9761092150170648,0.9871349786283592,0.9949351786235358,0.9726843064987,0.9793481734683952,0.9937219730941704,0.959731543624161,965,1,6,143,2.4295131860000083,17.82474170403936,8
E1,word,full,kNN,Instance-based,1,2,4459,1115,0.9660085969288486,0.940766550522648,0.9616377923023002,0.978302555337863,0.9329346111188676,0.951467339197132,0.9847533632286996,0.8993288590604027,963,3,14,135,3.5385646570000238,60.03707982064051,8
E1,word,full,RandomForest,Ensemble,1,2,4459,1115,0.9666015318717064,0.9419795221843004,0.9816233436384312,0.9949977072825046,0.933386137740826,0.9599816582600358,0.9847533632286996,0.906040268456376,960,6,11,138,28.71887628600001,53.219105829597815,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,3,4459,1115,0.9763560795623224,0.958904109589041,0.9871555987241144,0.9959516407599308,0.9531911768466844,0.9656303972366148,0.989237668161435,0.9133333333333332,963,2,10,140,2.087667831999994,15.646930044831931,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,3,4459,1115,0.9764926631809748,0.9591836734693876,0.9829294057855724,0.9941347150259068,0.9532516838535128,0.9684455958549224,0.989237668161435,0.92,962,3,9,141,2.212160796999996,15.339280717484298,8
E1,word,full,LinearSVM,Kernel (linear),1,3,4459,1115,0.9746069285683004,0.9559322033898304,0.983627207968756,0.994873920552677,0.9493972007374426,0.9679274611398964,0.988340807174888,0.92,961,4,9,141,2.330980079999989,16.712190134515698,8
E1,word,full,kNN,Instance-based,1,3,4459,1115,0.9700075855254544,0.9477351916376306,0.950738917558006,0.9748186528497408,0.941305435055276,0.9528151986183072,0.9865470852017936,0.9066666666666666,964,1,14,136,3.26872114599999,61.87555874439752,8
E1,word,full,RandomForest,Ensemble,1,3,4459,1115,0.9645341193434837,0.9383561643835616,0.970352634001936,0.982272884283247,0.9295381762046062,0.9540759930915372,0.9838565022421524,0.9,960,5,13,137,25.661240094999982,36.19265112108566,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,4,4459,1115,0.9596499862484258,0.9295774647887324,0.9693758930602462,0.9862245250431778,0.9212574588260598,0.9389637305699482,0.9820627802690582,0.8666666666666667,963,2,18,132,2.077782200000001,15.098347982056858,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,4,4459,1115,0.9671700420355094,0.94314381270903,0.9745182266043748,0.9858376511226252,0.9343471669656276,0.9658549222797927,0.9847533632286996,0.9,957,8,9,141,2.235463648999996,15.185546188342308,8
E1,word,full,LinearSVM,Kernel (linear),1,4,4459,1115,0.9647389947714624,0.9387755102040816,0.9746492762603572,0.9857132987910192,0.9297393372658196,0.9568911917098446,0.9838565022421524,0.9,959,6,12,138,2.4566705189999998,14.611200896858092,8
E1,word,full,kNN,Instance-based,1,4,4459,1115,0.9390927293652722,0.8929889298892989,0.92578264061002,0.9585284974093264,0.884947527308751,0.9033333333333332,0.9739910313901344,0.8133333333333334,965,0,29,121,3.3440632029999904,61.24326367713231,8
E1,word,full,RandomForest,Ensemble,1,4,4459,1115,0.9624545191927678,0.9347079037800688,0.972729464799232,0.9890086355785838,0.9255053000731612,0.9507426597582038,0.9829596412556054,0.76,960,5,14,136,28.487263267000003,34.732182062764515,8
E1,word,full,MultinomialNB,Linear / probabilistic,1,5,4460,1114,0.9782602139206305,0.9621993127147768,0.9854491184678866,0.9936015578815592,0.9568904938862476,0.9687623882880688,0.9901256732495513,0.9194630872483222,963,2,9,140,2.087680050000017,15.08058976657106,8
E1,word,full,LogisticRegression,Linear / probabilistic,1,5,4460,1114,0.9747483465764148,0.9562289562289562,0.9877675236818412,0.9957923288242864,0.949503946273129,0.9734012588239384,0.988330341113106,0.9194630872483222,959,6,7,142,2.234618399999988,15.253258527832624,8
E1,word,full,LinearSVM,Kernel (linear),1,5,4460,1114,0.980294067700668,0.9657534246575342,0.9906540491112116,0.9962096185276628,0.9608592980405214,0.9721180929860556,0.9910233393177738,0.9463087248322148,963,2,8,141,2.45796997299999,14.97634111311589,8
E1,word,full,kNN,Instance-based,1,5,4460,1114,0.9591522440598416,0.9285714285714286,0.9703875396224932,0.9849775706784436,0.9208424663934452,0.9357234760232293,0.9820466786355476,0.906040268456376,964,1,19,130,3.300872448000007,66.22279712746236,8
E1,word,full,RandomForest,Ensemble,1,5,4460,1114,0.9701804697245218,0.9480968858131488,0.9833723470931144,0.99590360607852,0.940972013430748,0.9581771394790832,0.9865350089766608,0.912751677852349,962,3,12,137,28.154056422999982,58.30159245961048,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,1,4459,1115,0.971754990373898,0.9507042253521126,0.9615597590398732,0.9791640613058764,0.9450380077276552,0.953020134228188,0.9874439461883407,0.9261744966442952,966,0,14,135,2.1355734179999786,16.631409865483942,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,1,4459,1115,0.9658052586479052,0.9403508771929824,0.963593966909695,0.9826100851779288,0.932907236635068,0.9486292328428308,0.9847533632286996,0.8993288590604027,964,2,15,134,2.515358994999985,15.37730044843646,8
E1,word,full,LinearSVM,Kernel (linear),2,1,4459,1115,0.9677199889987408,0.943661971830986,0.9637837276405784,0.9829922047605152,0.9369579726182592,0.949146831186516,0.9856502242152466,0.906040268456376,965,1,15,134,2.4222617429999787,15.61798206279238,8
E1,word,full,kNN,Instance-based,2,1,4459,1115,0.9398558474773308,0.8945454545454545,0.9319704665053624,0.96130518154154,0.8838533264932198,0.9111988828212932,0.9739910313901344,0.8187919463087249,963,3,26,123,3.4983720760000097,67.93499999999734,8
E1,word,full,RandomForest,Ensemble,2,1,4459,1115,0.949410255153802,0.911660777385159,0.9553570338468944,0.9832562146539386,0.900521386286914,0.930297914321842,0.9775784753363228,0.8657718120805369,961,5,20,129,27.88128844600004,36.05726905831001,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,2,4459,1115,0.9634649831796932,0.9361702127659576,0.9728385603930468,0.9899398335348144,0.9289236466568712,0.9424354217905428,0.9838565022421524,0.8859060402684564,965,1,17,132,2.092086236,16.826246636792185,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,2,4459,1115,0.9698281693952104,0.9473684210526316,0.9842366308861152,0.9950393930551504,0.9409616213535116,0.9525025358845026,0.9865470852017936,0.9194630872483222,965,1,14,135,2.3239929210000128,15.437380269016884,8
E1,word,full,LinearSVM,Kernel (linear),2,2,4459,1115,0.9740065741220608,0.9547038327526132,0.9813517271129332,0.9947892784192754,0.9489425840249646,0.9592139452804758,0.988340807174888,0.9261744966442952,965,1,12,137,2.3505770880000227,15.608530044840991,8
E1,word,full,kNN,Instance-based,2,2,4459,1115,0.94624553127735,0.9057971014492754,0.9404709763631844,0.9677803715591868,0.8962970876947277,0.9184278905609516,0.9766816143497756,0.8322147651006712,964,2,24,125,3.150794159000043,63.5317112107663,8
E1,word,full,RandomForest,Ensemble,2,2,4459,1115,0.949713615658684,0.912280701754386,0.971383334079718,0.9869523531618658,0.9006896977612943,0.9331360206761432,0.9775784753363228,0.7986577181208053,960,6,19,130,26.087826242999995,37.16755605380503,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,3,4459,1115,0.9724154261560428,0.952054794520548,0.9825158379791116,0.9956062176165804,0.9453068432993252,0.9617789291882556,0.9874439461883407,0.8933333333333333,962,3,11,139,2.0806415110000103,15.527109417030974,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,3,4459,1115,0.9641156024716786,0.9375,0.9739838511500656,0.9902728842832468,0.929313444107263,0.9484455958549224,0.9838565022421524,0.9,962,3,15,135,2.2456127089999995,15.069230493273636,8
E1,word,full,LinearSVM,Kernel (linear),2,3,4459,1115,0.9705307634162114,0.9488054607508531,0.9753401024861448,0.9910949913644214,0.9414227159578644,0.9612607944732297,0.9865470852017936,0.9,961,4,11,139,2.3767894970000043,14.525061883412109,8
E1,word,full,kNN,Instance-based,2,3,4459,1115,0.9615517939168894,0.9328621908127208,0.9572305236753932,0.9749879101899828,0.9253343337622336,0.939481865284974,0.9829596412556054,0.9066666666666666,964,1,18,132,3.249696090999976,56.20698744396088,8
E1,word,full,RandomForest,Ensemble,2,3,4459,1115,0.9596499862484258,0.9295774647887324,0.9763707668231988,0.9933471502590674,0.9212574588260598,0.9389637305699482,0.9820627802690582,0.8333333333333334,963,2,18,132,28.241422883999974,52.20284215248068,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,4,4459,1115,0.9701844552713348,0.9480968858131488,0.975143231892536,0.9904559585492227,0.9412818033709932,0.9556303972366148,0.9865470852017936,0.9133333333333332,963,2,13,137,2.0928607359999774,16.170987443949482,8
E1,word,full,LogisticRegression,Linear / probabilistic,2,4,4459,1115,0.9806334847916408,0.9664429530201344,0.9868245069849444,0.9962037996545768,0.9612960823597488,0.9779274611398964,0.9910313901345292,0.9,961,4,6,144,2.2692571970000017,15.73710852016418,8
E1,word,full,LinearSVM,Kernel (linear),2,4,4459,1115,0.9804105526508125,0.9659863945578232,0.9881859088237934,0.995091537132988,0.961089132716077,0.9722970639032816,0.9910313901345292,0.92,963,2,8,142,2.322565411000028,15.675970403595793,8
E1,word,full,kNN,Instance-based,2,4,4459,1115,0.9534574347414976,0.9187279151943464,0.9381058559726536,0.9652089810017273,0.9091157095046702,0.9317789291882556,0.979372197309417,0.8666666666666667,962,3,20,130,3.4869734979999976,78.69503139014267,8
E1,word,full,RandomForest,Ensemble,2,4,4459,1115,0.9684747727497632,0.9452054794520548,0.9813917791095246,0.9911813471502592,0.9374225097519656,0.9579274611398964,0.9856502242152466,0.8666666666666667,961,4,12,138,27.118162036,38.48348789240706,8
E1,word,full,MultinomialNB,Linear / probabilistic,2,5,4460,1114,0.9824177751277984,0.9694915254237289,0.9924099233677344,0.9973363007267796,0.964902390929559,0.9783113676670028,0.9919210053859964,0.9328859060402684,962,3,6,143,2.2168452550000097,18.776509874326603,8
